"id","tier","subject","section","topic","subtopic","status","priority","difficulty","estimatedWeight","questionsSolved","accuracy","lastRevision","nextRevision","source","completion","notes","revisionCount","mockError"
"bmmzrs5243ni","Tier 1","Reasoning","Reasoning","Analogies","Semantic analogy","Not Started","High","Medium","25","0","0","","","SSC Official","0","","0","false"
"syk46wug43ni","Tier 1","Reasoning","Reasoning","Classification","Number/figural classification","Not Started","Medium","Medium","25","0","0","","","SSC Official","0","","0","false"
"7arn1hrc43ni","Tier 1","Reasoning","Reasoning","Series","Number and figural series","In Progress","High","Hard","25","32","62","2026-07-09","2026-07-09","SSC Official","54","Need speed practice","0","false"
"ta4mitj043ni","Tier 1","General Awareness","GA","History","Modern India","In Progress","High","Hard","25","40","58","2026-07-09","2026-07-09","Lucent + PYQ","51","Revise chronology","0","false"
"564vdfwt43ni","Tier 1","General Awareness","GA","Polity","Constitution basics","Revision","High","Medium","25","55","81","2026-07-09","2026-07-11","Notes","78","Article numbers weak","0","false"
"d94bsoco43ni","Tier 1","Quantitative Aptitude","Math","Arithmetic","Percentages","In Progress","High","Medium","25","86","74","2026-07-09","2026-07-09","Class notes","69","","0","false"
"ayc7lhmn43ni","Tier 1","Quantitative Aptitude","Math","Arithmetic","Profit and loss","Not Started","High","Hard","25","0","0","","","Class notes","0","","0","false"
"scixk3jk43ni","Tier 1","English","English","Grammar","Spotting errors","Revision","High","Medium","25","77","84","2026-07-09","2026-07-11","PYQ","85","","0","false"
"nitjpt6c43ni","Tier 1","English","English","Vocabulary","One word substitution","In Progress","Medium","Medium","25","36","72","2026-07-09","2026-07-09","Word list","65","","0","false"
"zfr2mliv43ni","Tier 2","Mathematical Abilities","Math","Advanced Math","Algebra","In Progress","High","Hard","23.1","52","61","2026-07-09","2026-07-09","Tier 2 Book","56","","0","false"
"5fvpji4s43ni","Tier 2","Mathematical Abilities","Math","Advanced Math","Trigonometry","Not Started","High","Hard","23.1","0","0","","","Tier 2 Book","0","","0","false"
"m50pd0md43ni","Tier 2","Reasoning","Reasoning","Reasoning","Critical thinking","In Progress","Medium","Medium","23.1","28","79","2026-07-09","2026-07-09","Module practice","70","","0","false"
"ksy8e3vw43ni","Tier 2","English Language","English","Comprehension","Cloze passage","Revision","High","Medium","34.6","64","88","2026-07-09","2026-07-11","Editorial notes","88","","0","false"
"t53hx33h43ni","Tier 2","General Awareness","GA","Economy","Budget and banking","In Progress","High","Hard","19.2","24","57","2026-07-09","2026-07-09","Monthly CA","48","","0","false"
"zeofzgek43ni","Tier 2","Computer Knowledge Test","Computer","Basics","MS Office","Completed","Medium","Easy","15.4","50","92","2026-07-09","2026-07-11","Short notes","100","","0","false"
"yjn3b4jk43ni","Tier 2","Statistics Paper II","Statistics","Statistics","Measures of central tendency","Not Started","Low","Hard","200","0","0","","","Stats module","0","Only if applying JSO","0","false"
